Grade,ID,Problem
K,K-01,Count these objects and write the number: ⚽⚽
K,K-02,Start at 11 and count forward to 21. Write the numbers
K,K-03,Draw a rectangle and a triangle. Label each?
K,K-04,"Which is longer, a 8-cube stick or a 5-cube stick?"
K,K-05,Show a way to make 10 using two numbers
K,K-06,"Circle the number that is greater, 8 or 1"
K,K-07,How many sides does a square have?
K,K-08,"Add within 10, 4 + 1"
K,K-09,"Subtract within 10, 8 - 2"
K,K-10,"Which shape is a solid, a cube or a circle?"
1,1-01,What is 10 + 5?
1,1-02,What is 18 - 9?
1,1-03,Count by 10s from 30 to 100
1,1-04,Write the value of the digit 7 in 170?
1,1-05,"Which is heavier, a book or a pencil?"
1,1-06,Draw a rectangle and divide it into 2 equal parts. Shade one half?
1,1-07,"Which number is greater, 34 or 21?"
1,1-08,What time is shown on a clock with the hour hand at 3 and the minute hand at 12?
1,1-09,What is 18 + 11?
1,1-10,What is 18 - 9?
1,1-11,Count by 10s from 20 to 100
1,1-12,Write the value of the digit 7 in 70?
1,1-13,"Which is heavier, a book or a pencil?"
1,1-14,Draw a rectangle and divide it into 2 equal parts. Shade one half?
1,1-15,"Which number is greater, 19 or 52?"
1,1-16,What time is shown on a clock with the hour hand at 3 and the minute hand at 12?
2,2-01,What is 200 + 140?
2,2-02,What is 705 - 268?
2,2-03,How many quarters make $1.50?
2,2-04,A rectangle has sides 9 cm and 8 cm. What is the perimeter
2,2-05,What time is 15 minutes after 1:30?
2,2-06,Write the number that is 10 more than 245?
2,2-07,Draw an array with 2 rows of 5 to show repeated addition?
2,2-08,Measure a pencil to the nearest inch. Is it 5 inches
2,2-09,"Compare using >, =, or <, 347 __ 349?"
2,2-10,Round 499 to the nearest ten?
2,2-11,What is 300 + 210?
2,2-12,What is 755 - 298?
2,2-13,How many quarters make $1.50?
2,2-14,A rectangle has sides 9 cm and 6 cm. What is the perimeter
2,2-15,What time is 15 minutes after 1:30?
2,2-16,Write the number that is 10 more than 512?
2,2-17,Draw an array with 3 rows of 3 to show repeated addition?
2,2-18,Measure a pencil to the nearest inch. Is it 7 inches
2,2-19,"Compare using >, =, or <, 502 __ 349?"
2,2-20,Round 351 to the nearest ten?
3,3-01,What is 8 x 4?
3,3-02,What is 56 ÷ 9?
3,3-03,Place 3/4 and 2/3 on a number line from 0 to 1. Which is greater
3,3-04,A rectangle is 8 m by 7 m. What is the area
3,3-05,A movie starts at 3:10 PM and ends at 4:45 PM. How many minutes long is it
3,3-06,How many sides does a hexagon have?
3,3-07,Write the fraction of shaded squares if 6 of 10 squares are shaded?
3,3-08,How many liters are in 3000 milliliters?
3,3-09,What is 8 x 5?
3,3-10,What is 56 ÷ 8?
3,3-11,Place 3/4 and 2/3 on a number line from 0 to 1. Which is greater
3,3-12,A rectangle is 8 m by 7 m. What is the area
3,3-13,A movie starts at 3:10 PM and ends at 4:05 PM. How many minutes long is it
3,3-14,How many sides does a hexagon have?
3,3-15,Write the fraction of shaded squares if 6 of 10 squares are shaded?
3,3-16,How many liters are in 2000 milliliters?
3,3-17,What is 6 x 7?
3,3-18,What is 42 ÷ 8?
3,3-19,Place 3/4 and 2/3 on a number line from 0 to 1. Which is greater
3,3-20,A rectangle is 8 m by 7 m. What is the area
3,3-21,A movie starts at 3:10 PM and ends at 4:25 PM. How many minutes long is it
3,3-22,How many sides does a hexagon have?
3,3-23,Write the fraction of shaded squares if 6 of 10 squares are shaded?
3,3-24,How many liters are in 3000 milliliters?
4,4-01,What is 20 x 6?
4,4-02,What is 801 ÷ 8?
4,4-03,Add 3/8 + 5/8
4,4-04,Subtract 5/6 - 2/10
4,4-05,An angle measures 36° more than a right angle. What is its measure
4,4-06,Classify the shape with 4 equal sides and 4 right angles
4,4-07,Find the factor pairs of 48?
4,4-08,Round 8321 to the nearest hundred?
4,4-09,A rectangle is 15 cm by 9 cm. What is the perimeter
4,4-10,"Write a numerical expression for, add 12 and 7, then multiply by 3?"
4,4-11,What is 30 x 8?
4,4-12,What is 811 ÷ 8?
4,4-13,Add 3/8 + 5/8
4,4-14,Subtract 7/10 - 1/6
4,4-15,An angle measures 36° more than a right angle. What is its measure
4,4-16,Classify the shape with 4 equal sides and 4 right angles
4,4-17,Find the factor pairs of 24?
4,4-18,Round 1999 to the nearest hundred?
4,4-19,A rectangle is 15 cm by 7 cm. What is the perimeter
4,4-20,"Write a numerical expression for, add 12 and 7, then multiply by 3?"
4,4-21,What is 40 x 6?
4,4-22,What is 821 ÷ 5?
4,4-23,Add 3/8 + 5/8
4,4-24,Subtract 5/6 - 2/10
4,4-25,An angle measures 36° more than a right angle. What is its measure
4,4-26,Classify the shape with 4 equal sides and 4 right angles
5,5-01,Add 5/6 and 3/8. Give the total
5,5-02,A store sells 4 notebooks at $2.49 each and 3 pens at $1.25 each. You pay with $20.00. How much change do you receive
5,5-03,"Two boxes without overlap, A is 4 cm x 3 cm x 2 cm and B is 5 cm x 2 cm x 3 cm. What is the total volume"
5,5-04,A rectangle measures 2 1/2 ft by 1 3/4 ft. What is the area
5,5-05,A recipe uses 1/5 cup of sugar per batch. You have 5 cups. How many batches can you make
5,5-06,Compute 3.75 + 2.6
5,5-07,Write the value of the digit 7 in 7.054?
5,5-08,A right rectangular prism is 3 cm by 5 cm by 7 cm. What is its volume
5,5-09,Add 3/4 and 2/3. Give the total
5,5-10,A store sells 3 notebooks at $2.49 each and 3 pens at $1.25 each. You pay with $20.00. How much change do you receive
5,5-11,"Two boxes without overlap, A is 4 cm x 3 cm x 2 cm and B is 5 cm x 2 cm x 3 cm. What is the total volume"
5,5-12,A rectangle measures 4 1/2 ft by 3 3/4 ft. What is the area
5,5-13,A recipe uses 1/4 cup of sugar per batch. You have 4 cups. How many batches can you make
5,5-14,Compute 4.8 x 0.6
5,5-15,Write the value of the digit 7 in 7.054?
5,5-16,A right rectangular prism is 3 cm by 6 cm by 8 cm. What is its volume
5,5-17,Add 5/6 and 2/3. Give the total
5,5-18,A store sells 5 notebooks at $2.49 each and 3 pens at $1.25 each. You pay with $20.00. How much change do you receive
5,5-19,"Two boxes without overlap, A is 4 cm x 3 cm x 2 cm and B is 5 cm x 2 cm x 3 cm. What is the total volume"
5,5-20,A rectangle measures 3 1/2 ft by 2 3/4 ft. What is the area
5,5-21,A recipe uses 1/5 cup of sugar per batch. You have 6 cups. How many batches can you make
5,5-22,Compute 4.8 x 0.6
5,5-23,Write the value of the digit 7 in 0.078?
5,5-24,A right rectangular prism is 3 cm by 5 cm by 7 cm. What is its volume
5,5-25,Add 5/6 and 2/3. Give the total
5,5-26,A store sells 4 notebooks at $2.49 each and 3 pens at $1.25 each. You pay with $20.00. How much change do you receive
6,6-01,"The ratio of cats to dogs is 3:5. If there are 20 dogs, how many cats"
6,6-02,Plot -2 and 3 on a number line. Which is greater?
6,6-03,Solve x + 9 = 21?
6,6-04,Find the area of a triangle with base 9 cm and height 7 cm?
6,6-05,Find the surface area of a rectangular prism 4 cm by 4 cm by 5 cm?
6,6-06,"Compute the unit rate, 72 miles in 4 hours"
6,6-07,"Add, -9 + 8"
6,6-08,Simplify the fraction 30/24
6,6-09,"Find the mean of the data, 5, 7, 9, 11, 13?"
6,6-10,"The ratio of cats to dogs is 3:5. If there are 32 dogs, how many cats"
6,6-11,Plot -3 and 4 on a number line. Which is greater?
6,6-12,Solve x + 8 = 23?
6,6-13,Find the area of a triangle with base 8 cm and height 4 cm?
6,6-14,Find the surface area of a rectangular prism 4 cm by 5 cm by 6 cm?
6,6-15,"Compute the unit rate, 84 miles in 4 hours"
6,6-16,"Add, -5 + 3"
6,6-17,Simplify the fraction 18/36
6,6-18,"Find the mean of the data, 5, 7, 9, 11, 13?"
6,6-19,"The ratio of cats to dogs is 3:5. If there are 20 dogs, how many cats"
6,6-20,Plot -4 and 5 on a number line. Which is greater?
6,6-21,Solve x + 7 = 25?
6,6-22,Find the area of a triangle with base 7 cm and height 5 cm?
6,6-23,Find the surface area of a rectangular prism 4 cm by 4 cm by 5 cm?
6,6-24,"Compute the unit rate, 72 miles in 4 hours"
6,6-25,"Add, -5 + 3"
6,6-26,Simplify the fraction 30/42
6,6-27,"Find the mean of the data, 5, 7, 9, 11, 13?"
7,7-01,A store advertises 25% off a $30 shirt. What is the sale price
7,7-02,"A line passes through (0, 0) and (5, 11). What is the unit rate"
7,7-03,Solve 3(x - 2) = 16?
7,7-04,"Angles are supplementary, one is 75°. What is the other angle"
7,7-05,"The scale is 1 cm : 6 m. If a room is 13 m long, how many cm on the drawing"
7,7-06,The probability of red is 3/6. What is the probability of not red
7,7-07,"In a sample of 50 students, 18 ride bikes. Estimate the percentage for the school"
7,7-08,A store advertises 25% off a $31 shirt. What is the sale price
7,7-09,"A line passes through (0, 0) and (6, 13). What is the unit rate"
7,7-10,Solve 3(x - 2) = 18?
7,7-11,"Angles are supplementary, one is 60°. What is the other angle"
7,7-12,"The scale is 1 cm : 7 m. If a room is 14 m long, how many cm on the drawing"
7,7-13,The probability of red is 1/4. What is the probability of not red
7,7-14,"In a sample of 50 students, 19 ride bikes. Estimate the percentage for the school"
7,7-15,A store advertises 25% off a $32 shirt. What is the sale price
7,7-16,"A line passes through (0, 0) and (4, 10). What is the unit rate"
7,7-17,Solve 3(x - 2) = 20?
7,7-18,"Angles are supplementary, one is 70°. What is the other angle"
7,7-19,"The scale is 1 cm : 5 m. If a room is 12 m long, how many cm on the drawing"
7,7-20,The probability of red is 2/5. What is the probability of not red
7,7-21,"In a sample of 50 students, 20 ride bikes. Estimate the percentage for the school"
7,7-22,A store advertises 25% off a $33 shirt. What is the sale price
7,7-23,"A line passes through (0, 0) and (5, 12). What is the unit rate"
7,7-24,Solve 3(x - 2) = 22?
7,7-25,"Angles are supplementary, one is 80°. What is the other angle"
7,7-26,"The scale is 1 cm : 6 m. If a room is 13 m long, how many cm on the drawing"
7,7-27,The probability of red is 3/6. What is the probability of not red
8,8-01,Solve 2x - 5 = 13?
8,8-02,"Solve the system, y = 2x + 1 and y = -x + 7?"
8,8-03,A right triangle has legs 11 and 14. Find the hypotenuse
8,8-04,A cylinder has radius 4 cm and height 10 cm. What is the volume
8,8-05,"Reflect (-2, 6) across the x-axis. Give the new coordinates"
8,8-06,Is y = 3x - 4 a function of x?
8,8-07,Graph the line with slope 1/2 and y-intercept -1?
8,8-08,Solve 3x - 5 = 15?
8,8-09,"Solve the system, y = 2x + 1 and y = -x + 6?"
8,8-10,A right triangle has legs 9 and 12. Find the hypotenuse
8,8-11,A cylinder has radius 3 cm and height 11 cm. What is the volume
8,8-12,"Reflect (-3, 7) across the x-axis. Give the new coordinates"
8,8-13,Is y = 3x - 2 a function of x?
8,8-14,Graph the line with slope 2/2 and y-intercept 1?
8,8-15,Solve 4x - 5 = 17?
8,8-16,"Solve the system, y = 2x + 1 and y = -x + 9?"
8,8-17,A right triangle has legs 10 and 13. Find the hypotenuse
8,8-18,A cylinder has radius 4 cm and height 12 cm. What is the volume
8,8-19,"Reflect (-2, 5) across the x-axis. Give the new coordinates"
8,8-20,Is y = 3x - 3 a function of x?
8,8-21,Graph the line with slope 3/2 and y-intercept -2?
8,8-22,Solve 2x - 5 = 14?
8,8-23,"Solve the system, y = 2x + 1 and y = -x + 8?"
8,8-24,A right triangle has legs 11 and 14. Find the hypotenuse
8,8-25,A cylinder has radius 3 cm and height 10 cm. What is the volume
8,8-26,"Reflect (-3, 6) across the x-axis. Give the new coordinates"
8,8-27,Is y = 3x - 4 a function of x?
8,8-28,Graph the line with slope 1/2 and y-intercept 0?
9,9-01,Factor x^2 - 7x + 12?
9,9-02,Solve (x - 4)(x + 6) = 0?
9,9-03,The graph of y = 4x - 4 crosses the y-axis at what value
9,9-04,Solve 2x + 3 = 8x - 9?
9,9-05,Evaluate f(x) = 2x^2 - x + 3 at x = 5
9,9-06,"Write the equation of a line through (1, -2) with slope -1?"
9,9-07,Simplify (2x^2)(3x^1)
9,9-08,Factor x^2 - 10x + 13?
9,9-09,Solve (x - 5)(x + 7) = 0?
9,9-10,The graph of y = 2x - 6 crosses the y-axis at what value
9,9-11,Solve 3x + 3 = 9x - 9?
9,9-12,Evaluate f(x) = 2x^2 - x + 3 at x = 2
9,9-13,"Write the equation of a line through (1, -2) with slope -3?"
9,9-14,Simplify (3x^3)(4x^2)
9,9-15,Factor x^2 - 9x + 14?
9,9-16,Solve (x - 3)(x + 5) = 0?
9,9-17,The graph of y = 3x - 3 crosses the y-axis at what value
9,9-18,Solve 4x + 3 = 10x - 9?
9,9-19,Evaluate f(x) = 2x^2 - x + 3 at x = 4
9,9-20,"Write the equation of a line through (1, -2) with slope -2?"
9,9-21,Simplify (4x^2)(3x^1)
9,9-22,Factor x^2 - 8x + 15?
9,9-23,Solve (x - 4)(x + 6) = 0?
9,9-24,The graph of y = 4x - 5 crosses the y-axis at what value
9,9-25,Solve 2x + 3 = 5x - 9?
9,9-26,Evaluate f(x) = 2x^2 - x + 3 at x = 1
9,9-27,"Write the equation of a line through (1, -2) with slope -1?"
9,9-28,Simplify (2x^3)(4x^2)
10,10-01,"In triangle ABC, AB = 10, AC = 26, and BC = 24. Is the triangle right"
10,10-02,"Find the distance between (-4, 5) and (6, -3)?"
10,10-03,A circle has equation (x - 2)^2 + (y + 3)^2 = 18. What is the center and radius
10,10-04,"Write an equation of the line through (1, -2) with slope -3?"
10,10-05,A right triangle has angle 30° and adjacent side 9. Find the hypotenuse
10,10-06,"Given parallel lines cut by a transversal, one acute angle is 55°. Find its corresponding angle"
10,10-07,Find the area of a circle with radius 7 cm?
10,10-08,"In triangle ABC, AB = 13, AC = 29, and BC = 27. Is the triangle right"
10,10-09,"Find the distance between (-5, 4) and (7, -2)?"
10,10-10,A circle has equation (x - 3)^2 + (y + 1)^2 = 20. What is the center and radius
10,10-11,"Write an equation of the line through (1, -2) with slope -2?"
10,10-12,A right triangle has angle 30° and adjacent side 10. Find the hypotenuse
10,10-13,"Given parallel lines cut by a transversal, one acute angle is 50°. Find its corresponding angle"
10,10-14,Find the area of a circle with radius 8 cm?
10,10-15,"In triangle ABC, AB = 12, AC = 28, and BC = 26. Is the triangle right"
10,10-16,"Find the distance between (-3, 7) and (5, -5)?"
10,10-17,A circle has equation (x - 2)^2 + (y + 2)^2 = 17. What is the center and radius
10,10-18,"Write an equation of the line through (1, -2) with slope -1?"
10,10-19,A right triangle has angle 30° and adjacent side 8. Find the hypotenuse
10,10-20,"Given parallel lines cut by a transversal, one acute angle is 60°. Find its corresponding angle"
10,10-21,Find the area of a circle with radius 9 cm?
10,10-22,"In triangle ABC, AB = 11, AC = 27, and BC = 25. Is the triangle right"
10,10-23,"Find the distance between (-4, 6) and (6, -4)?"
10,10-24,A circle has equation (x - 3)^2 + (y + 3)^2 = 19. What is the center and radius
10,10-25,"Write an equation of the line through (1, -2) with slope -3?"
10,10-26,A right triangle has angle 30° and adjacent side 9. Find the hypotenuse
10,10-27,"Given parallel lines cut by a transversal, one acute angle is 55°. Find its corresponding angle"
10,10-28,Find the area of a circle with radius 7 cm?
11,11-01,Solve 2^x = 32. Give x to the nearest hundredth?
11,11-02,Simplify (4x^2y)(3x^3y^3)
11,11-03,"Solve x/(x-5) = 2 for x, with domain restrictions?"
11,11-04,"The function f(x) = a·b^x passes through (0, 2) and (3, 14). Find a and b"
11,11-05,A data set has mean 74 and standard deviation 8. What z-score corresponds to 90
11,11-06,Write the recursive and explicit formulas for an arithmetic sequence with a1 = 4 and d = 5?
11,11-07,Rewrite log base 2 of 16 using natural logarithms
11,11-08,Solve 2^x = 56. Give x to the nearest hundredth?
11,11-09,Simplify (3x^2y)(2x^3y^2)
11,11-10,"Solve x/(x-3) = 2 for x, with domain restrictions?"
11,11-11,"The function f(x) = a·b^x passes through (0, 3) and (3, 12). Find a and b"
11,11-12,A data set has mean 75 and standard deviation 9. What z-score corresponds to 91
11,11-13,Write the recursive and explicit formulas for an arithmetic sequence with a1 = 2 and d = 3?
11,11-14,Rewrite log base 3 of 20 using natural logarithms
11,11-15,Solve 2^x = 48. Give x to the nearest hundredth?
11,11-16,Simplify (4x^2y)(3x^3y^3)
11,11-17,"Solve x/(x-4) = 2 for x, with domain restrictions?"
11,11-18,"The function f(x) = a·b^x passes through (0, 4) and (3, 10). Find a and b"
11,11-19,A data set has mean 70 and standard deviation 8. What z-score corresponds to 86
11,11-20,Write the recursive and explicit formulas for an arithmetic sequence with a1 = 3 and d = 4?
12,12-01,Solve log_3(x) + log_3(x-2) = 2 for x > 2?
12,12-02,"For f(x) = (2x)/(x-2), find the horizontal and vertical asymptotes"
12,12-03,"The sequence is a1 = 2, a_n = 1.7·a_(n-1). Find a5"
12,12-04,A normal distribution has mean 103 and sigma = 15. What percentile is x = 128
12,12-05,Solve for q in 1/p + 1/q = 1/6?
12,12-06,Find the inverse of f(x) = (x - 4)/(4x + 1)?
12,12-07,Use the binomial theorem to expand (x + 2)^3
12,12-08,Solve log_3(x) + log_3(x-3) = 2 for x > 3?
12,12-09,"For f(x) = (2x)/(x-1), find the horizontal and vertical asymptotes"
12,12-10,"The sequence is a1 = 2, a_n = 1.5·a_(n-1). Find a5"
12,12-11,A normal distribution has mean 100 and sigma = 16. What percentile is x = 125
12,12-12,Solve for q in 1/p + 1/q = 1/7?
12,12-13,Find the inverse of f(x) = (x - 2)/(3x + 1)?
12,12-14,Use the binomial theorem to expand (x + 3)^3
12,12-15,Solve log_3(x) + log_3(x-2) = 2 for x > 2?
12,12-16,"For f(x) = (2x)/(x-2), find the horizontal and vertical asymptotes"
12,12-17,"The sequence is a1 = 2, a_n = 1.6·a_(n-1). Find a5"
12,12-18,A normal distribution has mean 102 and sigma = 17. What percentile is x = 127
12,12-19,Solve for q in 1/p + 1/q = 1/6?
12,12-20,Find the inverse of f(x) = (x - 3)/(4x + 1)?
